doi,title,abstract,authors,orcid_ids,affiliations,published_date,journal_title,publisher,keywords,topics
10.1111/1467-9965.00011,Malliavin's Calculus in Insider Models: Additional Utility and Free Lunches,"We consider simple models of financial markets with regular traders and insiders possessing some extra information hidden in a random variable that is accessible to the regular trader only at the end of the trading interval. The problems we focus on are the calculation of the additional utility of the insider and a study of his free lunch possibilities. The information drift—that is, the drift to eliminate in order to preserve the martingale property in the insider's filtration—turns out to be the crucial quantity needed to answer these questions. It is most elegantly described by the logarithmic Malliavin trace of the conditional laws of the insider information with respect to the filtration of the regular trader. Several examples are given to illustrate additional utility and free lunch possibilities. In particular, if the insider has advance knowledge of the maximal stock price process, given by a regular diffusion, arbitrage opportunities exist.",Peter Imkeller,,Peter Imkeller: Humboldt-Universität zu Berlin,2003-01,Mathematical Finance,Wiley,Insider; Insider trading; Arbitrage; Martingale (probability theory); Malliavin calculus; Local martingale; Mathematical economics; Mathematics; Econometrics; Economics; Financial economics; Finance; Applied mathematics; Law; Political science,Financial Markets and Investment Strategies; Stochastic processes and financial applications; Complex Systems and Time Series Analysis
10.1111/1467-9965.00012,An Anticipating Calculus Approach to the Utility Maximization of an Insider,"In this paper we consider a financial market with an insider that has, at time t = 0 , some additional information of the whole developing of the market. We use the forward integral, which is an anticipating integral, and the techniques of the Malliavin calculus so that we can take advantage of the privileged information to maximize the expected logarithmic utility from terminal wealth.",Jorge A. León; Reyla Navarro; David Nualart,0000-0002-4978-637X,Jorge A. Leòn: Center for Research and Advanced Studies of the National Polytechnic Institute; Reyla Navarro: Center for Research and Advanced Studies of the National Polytechnic Institute; David Nualart: Center for Research and Advanced Studies of the National Polytechnic Institute,2003-01,Mathematical Finance,Wiley,Insider; Malliavin calculus; Utility maximization; Expected utility hypothesis; Mathematical economics; Terminal (telecommunication); Logarithm; Maximization; Insider trading; Calculus (dental); Computer science; Economics; Mathematics; Mathematical optimization; Finance,Stochastic processes and financial applications; Financial Markets and Investment Strategies; Complex Systems and Time Series Analysis
10.1111/1467-9965.00013,Quantiles of the Euler Scheme for Diffusion Processes and Financial Applications,"In this paper we briefly present the results obtained in our paper ( Talay and Zheng 2002a ) on the convergence rate of the approximation of quantiles of the law of one component of ( X t ) , where ( X t ) is a diffusion process, when one uses a Monte Carlo method combined with the Euler discretization scheme. We consider the case where ( X t ) is uniformly hypoelliptic (in the sense of Condition (UH) below), or the inverse of the Malliavin covariance of the component under consideration satisfies the condition (M) below. We then show that Condition (M) seems widely satisfied in applied contexts. We particularly study financial applications: the computation of quantiles of models with stochastic volatility, the computation of the VaR of a portfolio, and the computation of a model risk measurement for the profit and loss of a misspecified hedging strategy.",Denis Talay; Ziyu Zheng,,Denis Talay: Institut national de recherche en informatique et en automatique; Ziyu Zheng: Institut national de recherche en informatique et en automatique,2003-01,Mathematical Finance,Wiley,Quantile; Discretization; Mathematics; Computation; Covariance; Applied mathematics; Stochastic volatility; Monte Carlo method; Malliavin calculus; Volatility (finance); Local volatility; Econometrics; Mathematical optimization; Statistics; Mathematical analysis; Algorithm; Partial differential equation,"Stochastic processes and financial applications; Financial Risk and Volatility Modeling; Insurance, Mortality, Demography, Risk Management"
10.1111/1467-9965.00014,Analysis of Error with Malliavin Calculus: Application to Hedging,"The aim of this paper is to compute the quadratic error of a discrete time‐hedging strategy in a complete multidimensional model. This result extends that of Gobet and Temam (2001) and Zhang (1999) . More precisely, our basic assumption is that the asset prices satisfy the d ‐dimensional stochastic differential equation dX i t = X i t ( b i ( X t ) dt +σ i , j ( X t ) dW j t ) . We precisely describe the risk of this strategy with respect to n , the number of rebalancing times. The rates of convergence obtained are for any options with Lipschitz payoff and 1/ n 1/4 for options with irregular payoff.",E. Temam,,"E. Temam: École nationale des ponts et chaussées, Sorbonne Université, CERMICS, Laboratoire de Probabilités et Modèles Aléatoires",2003-01,Mathematical Finance,Wiley,Malliavin calculus; Stochastic game; Mathematics; Lipschitz continuity; Stochastic differential equation; Applied mathematics; Mathematical economics; Quadratic equation; Convergence (economics); Calculus (dental); Differential equation; Pure mathematics; Economics; Mathematical analysis; Stochastic partial differential equation,Stochastic processes and financial applications
10.1111/1467-9965.00015,Merton's portfolio optimization problem in a Black and Scholes market with non‐Gaussian stochastic volatility of Ornstein‐Uhlenbeck type,"We study Merton's classical portfolio optimization problem for an investor who can trade in a risk‐free bond and a stock. The goal of the investor is to allocate money so that her expected utility from terminal wealth is maximized. The special feature of the problem studied in this paper is the inclusion of stochastic volatility in the dynamics of the risky asset. The model we use is driven by a superposition of non‐Gaussian Ornstein‐Uhlenbeck processes and it was recently proposed and intensively investigated for real market data by Barndorff‐Nielsen and Shephard (2001) . Using the dynamic programming method, explicit trading strategies and expressions for the value function via Feynman‐Kac formulas are derived and verified for power utilities. Some numerical examples are also presented.",Fred Espen Benth; Kenneth Hvistendahl Karlsen; Kristin Reikvam,0000-0001-9907-6811; 0000-0003-3375-2084,Fred Espen Benth: University of Oslo; Kenneth H. Karlsen: University of Bergen; Kristin Reikvam: University of Oslo,2003-03-10,Mathematical Finance,Wiley,Portfolio; Stochastic volatility; Ornstein–Uhlenbeck process; Economics; Econometrics; Gaussian; Mathematical economics; Volatility (finance); Financial economics; Mathematics; Mathematical optimization; Stochastic process; Physics,Stochastic processes and financial applications; Financial Risk and Volatility Modeling; Complex Systems and Time Series Analysis
10.1111/1467-9965.00016,Efficient Universal Portfolios for Past‐Dependent Target Classes,We present a new universal portfolio algorithm that achieves almost the same level of wealth as could be achieved by knowing stock prices ahead of time. Specifically the algorithm tracks the best in hindsight wealth achievable within target classes of linearly parameterized portfolio sequences. The target classes considered are more general than the standard constant rebalanced portfolio class and permit portfolio sequences to exhibit a continuous form of dependence on past prices or other side information. A primary advantage of the algorithm is that it is easily computable in a polynomial number of steps by way of simple closed‐form expressions. This provides an edge over other universal algorithms that require both an exponential number of computations and numerical approximation.,Jason E. Cross; Andrew R. Barron,0000-0002-2018-8288,Jason Cross: Yale University; Andrew R. Barron: Yale University,2003-03-10,Mathematical Finance,Wiley,Portfolio; Hindsight bias; Parameterized complexity; Computation; Class (philosophy); Mathematics; Exponential function; Mathematical optimization; Simple (philosophy); Portfolio optimization; Computer science; Algorithm; Economics; Finance; Artificial intelligence,Stochastic processes and financial applications; Financial Markets and Investment Strategies; Risk and Portfolio Optimization
10.1111/1467-9965.00017,The Defaultable Lévy Term Structure: Ratings and Restructuring,"We introduce the intensity‐based defaultable Lévy term structure model. It generalizes the default‐free Lévy term structure model by Eberlein and Raible, and the intensity‐based defaultable Heath‐Jarrow‐Morton approach of Bielecki and Rutkowski. Furthermore, we include the concept of multiple defaults, based on Schönbucher, within this generalization.",Ernst Eberlein; Fehmi Özkan,0000-0001-8935-2341,Ernst Eberlein: University of Freiburg; Fehmi Özkan: University of Freiburg,2003-03-10,Mathematical Finance,Wiley,Term (time); Default; Generalization; Econometrics; Restructuring; Economics; Mathematical economics; Mathematics; Finance; Mathematical analysis; Physics,"Credit Risk and Financial Regulations; Stochastic processes and financial applications; Banking stability, regulation, efficiency"
10.1111/1467-9965.00018,A General Fractional White Noise Theory And Applications To Finance,"We present a new framework for fractional Brownian motion in which processes with all indices can be considered under the same probability measure. Our results extend recent contributions by Hu, Øksendal, Duncan, Pasik‐Duncan, and others. As an application we develop option pricing in a fractional Black‐Scholes market with a noise process driven by a sum of fractional Brownian motions with various Hurst indices.",Robert J. Elliott; John Van Der Hoek,0000-0002-5486-6999,"Robert J. Elliott: University of Calgary, University of Adelaide; John van der Hoek: University of Adelaide",2003-03-10,Mathematical Finance,Wiley,Fractional Brownian motion; Hurst exponent; White noise; Mathematical economics; Econometrics; Statistical physics; Mathematics; Brownian noise; Brownian motion; Economics; Noise (video); Applied mathematics; Computer science; Statistics; Physics; Artificial intelligence,Stochastic processes and financial applications; Financial Risk and Volatility Modeling; Complex Systems and Time Series Analysis
10.1111/1467-9965.00019,An optimal Strategy for Hedging with Short‐Term Futures Contracts,"The search for an optimal strategy to reduce the running risk in hedging a long‐term supply commitment with short‐dated futures contracts leads to a class of intrinsic optimization problems. We give an explicit analytic solution for this optimization problem if the market price of the commodity is based on a simple Gaussian model, thereby replacing previously used incomplete approximations to the optimal strategy.",G. Larcher; G. Leobacher,0000-0001-8191-5824; 0000-0002-7837-784X,Gerhard Larcher: Johannes Kepler University of Linz; Gunther Leobacher: Johannes Kepler University of Linz,2003-03-10,Mathematical Finance,Wiley,Futures contract; Term (time); Economics; Simple (philosophy); Mathematical optimization; Incomplete markets; Commodity; Class (philosophy); Mathematical economics; Expected utility hypothesis; Optimization problem; Gaussian; Econometrics; Computer science; Microeconomics; Financial economics; Mathematics; Finance,Stochastic processes and financial applications; Economic theories and models; Risk and Portfolio Optimization
10.1111/1467-9965.00020,Stochastic Volatility for Lévy Processes,"Three processes reflecting persistence of volatility are initially formulated by evaluating three Lévy processes at a time change given by the integral of a mean‐reverting square root process. The model for the mean‐reverting time change is then generalized to include non‐Gaussian models that are solutions to Ornstein‐Uhlenbeck equations driven by one‐sided discontinuous Lévy processes permitting correlation with the stock. Positive stock price processes are obtained by exponentiating and mean correcting these processes, or alternatively by stochastically exponentiating these processes. The characteristic functions for the log price can be used to yield option prices via the fast Fourier transform. In general mean‐corrected exponentiation performs better than employing the stochastic exponential. It is observed that the mean‐corrected exponential model is not a martingale in the filtration in which it is originally defined. This leads us to formulate and investigate the important property of martingale marginals where we seek martingales in altered filtrations consistent with the one‐dimensional marginal distributions of the level of the process at each future date.",Peter Carr; Hélyette Geman; Dilip B. Madan; Marc Yor,0000-0002-1628-8454; 0000-0002-4734-931X; 0000-0002-0033-9077,"Peter Carr: New York University, Courant Institute of Mathematical Sciences; Dilip B. Madan: University of Maryland, College Park",2003-05-29,Mathematical Finance,Wiley,Martingale (probability theory); Mathematics; Stochastic volatility; Lévy process; Exponential function; Mean reversion; Applied mathematics; Stochastic process; Econometrics; Volatility (finance); Laplace transform; Square root; Mathematical analysis; Statistics,Stochastic processes and financial applications; Financial Risk and Volatility Modeling; Complex Systems and Time Series Analysis
10.1111/1467-9965.00021,The Term Structure of Simple Forward Rates with Jump Risk,"This paper characterizes the arbitrage‐free dynamics of interest rates, in the presence of both jumps and diffusion, when the term structure is modeled through simple forward rates (i.e., through discretely compounded forward rates evolving continuously in time) or forward swap rates. Whereas instantaneous continuously compounded rates form the basis of most traditional interest rate models, simply compounded rates and their parameters are more directly observable in practice and are the basis of recent research on “market models.” We consider very general types of jump processes, modeled through marked point processes, allowing randomness in jump sizes and dependence between jump sizes, jump times, and interest rates. We make explicit how jump and diffusion risk premia enter into the dynamics of simple forward rates. We also formulate reasonably tractable subclasses of models and provide pricing formulas for some derivative securities, including interest rate caps and options on swaps. Through these formulas, we illustrate the effect of jumps on implied volatilities in interest rate derivatives.",Paul Glasserman; S. G. Kou,0000-0002-9577-0205; 0000-0003-4457-8384,Paul Glasserman: Columbia University; Steven Kou: Columbia University,2003-05-29,Mathematical Finance,Wiley,Term (time); Simple (philosophy); Jump; Forward rate; Economics; Econometrics; Yield curve; Statistical physics; Financial economics; Mathematics; Mathematical economics; Physics,Stochastic processes and financial applications; Credit Risk and Financial Regulations; Financial Risk and Volatility Modeling
10.1111/1467-9965.00022,Backward Stochastic Differential Equations in Finance,"We are concerned with different properties of backward stochastic differential equations and their applications to finance. These equations, first introduced by Pardoux and Peng (1990), are useful for the theory of contingent claim valuation, especially cases with constraints and for the theory of recursive utilities, introduced by Duffie and Epstein (1992a, 1992b).",N. El Karoui; S. Peng; M. C. Quenez,0000-0002-0822-9198,"Nicole El Karoui: Sorbonne Université, Centre National de la Recherche Scientifique, Laboratoire de Probabilités et Modèles Aléatoires, Université Paris Cité; Shigē Péng: Shandong University; M.C. Quenez: Laboratoire de Mathématiques d'Orsay",1997-01,Mathematical Finance,Wiley,Stochastic differential equation; Valuation (finance); Mathematical economics; Economics; Mathematics; Mathematical finance; Econometrics; Applied mathematics; Finance,"Stochastic processes and financial applications; Insurance, Mortality, Demography, Risk Management; Credit Risk and Financial Regulations"
10.1111/1467-9965.00023,Arbitrage and Growth Rate for Riskless Investments in a Stationary Economy,"A sequential investment is a vector of payments over time, ( a 0 , a 1 , ... , a n ), where a payment is made to or by the investor according as a i is positive or negative. Given a collection of such investments it may be possible to assemble a portfolio from which an investor can get “something for nothing,” meaning that without investing any money of his own he can receive a positive return after some finite number of time periods. Cantor and Lipmann (1995) have given a simple necessary and sufficient condition for a set of investments to have this property. We present a short proof of this result. If arbitrage is not possible, our result leads to a simple derivation of the expression for the long–run growth rate of the set of investments in terms of its “internal rate of return.”",Ilan Adler; David Gale,,"Ilan Adler: University of California, Berkeley; David Gale: University of California, Berkeley",1997-01,Mathematical Finance,Wiley,Economics; Simple (philosophy); Arbitrage; Portfolio; Rate of return; Investment (military); Payment; Investment performance; Set (abstract data type); Financial economics; Monetary economics; Econometrics; Microeconomics; Return on investment; Finance,Economic theories and models; Capital Investment and Risk Analysis; Stochastic processes and financial applications
10.1111/1467-9965.00024,Pricing Barrier Options with Time–Dependent Coefficients,"We consider the problem of pricing derivative securities which involve a barrier clause. We give general techniques to calculate, or estimate accurately, barrier option prices, using methods for estimating diffusion process boundary hitting times. The solution gives a simple, easy–to–use, method for calculating barrier option prices.",G. O. Roberts; C. F. Shortland,,Gareth O. Roberts: Royal Statistical Society,1997-01,Mathematical Finance,Wiley,Barrier option; Derivative (finance); Simple (philosophy); Diffusion; Binomial options pricing model; Economics; Valuation of options; Econometrics; Financial economics; Physics,Stochastic processes and financial applications
10.1111/1467-9965.00025,Arbitrage with Fractional Brownian Motion,"Fractional Brownian motion has been suggested as a model for the movement of log share prices which would allow long–range dependence between returns on different days. While this is true, it also allows arbitrage opportunities, which we demonstrate both indirectly and by constructing such an arbitrage. Nonetheless, it is possible by looking at a process similar to the fractional Brownian motion to model long–range dependence of returns while avoiding arbitrage.",L. C. G. Rogers,0000-0003-2006-8806,L. C. G. Rogers: University of Bath,1997-01,Mathematical Finance,Wiley,Arbitrage; Fractional Brownian motion; Economics; Brownian motion; Range (aeronautics); Econometrics; Geometric Brownian motion; Financial economics; Mathematics; Diffusion process; Statistics,Capital Investment and Risk Analysis; Stochastic processes and financial applications; Economic theories and models
10.1111/1467-9965.00026,Characterizing Gaussian Models of the Term Structure of Interest Rates,"Models of the term structure of interest rates are considered for which, under the martingale measure, instantaneous forward rates are Gaussian. The possible forms of the covariance structure are characterized under appropriate formulations of the Markov property. It is demonstrated that imposing Markovian assumptions limits severely the covariances that may be obtained and that the strongest such formulation together with stationarity implies that the whole forward rate surface is necessarily a Gaussian random field described by just three parameters.",D. P. Kennedy,,"Douglas P. Kennedy: Statistical Service, Statistical Research (United States)",1997-04,Mathematical Finance,Wiley,Covariance; Martingale (probability theory); Gaussian; Mathematics; Term (time); Markov chain; Statistical physics; Econometrics; Markov process; Gaussian random field; Gaussian process; Applied mathematics; Statistics; Physics,Stochastic processes and financial applications; Financial Risk and Volatility Modeling; Credit Risk and Financial Regulations
10.1111/1467-9965.00027,A Note on the Stability of Lognormal Interest Rate Models and the Pricing of Eurodollar Futures,"The lognormal distribution assumption for the term structure of interest is the most natural way to exclude negative spot and forward rates. However, imposing this assumption on the continuously compounded interest rate has a serious drawback: rates explode and expected rollover returns are infinite even if the rollover period is arbitrarily short. As a consequence, such models cannot price one of the most widely used hedging instruments on the Euromoney market, namely the Eurodollar futures contract. The purpose of this note is to show that the problems with lognormal models result from modeling the wrong rate, namely the continuously compounded rate. If instead one models the effective annual rate these problems disappear.",Klaus Sandmann; Dieter Sondermann,,Klaus Sandmann: Johannes Gutenberg University Mainz; Dieter Sondermann: University of Bonn,1997-04,Mathematical Finance,Wiley,Eurodollar; Econometrics; Economics; Rollover (web design); LIBOR market model; Interest rate; Futures contract; Libor; Log-normal distribution; Stability (learning theory); Short-rate model; Short rate; Forward rate; Financial economics; Mathematics; Yield curve; Statistics; Computer science; Monetary economics; Volatility (finance),Stochastic processes and financial applications
10.1111/1467-9965.00028,The Market Model of Interest Rate Dynamics,"A class of term structure models with volatility of lognormal type is analyzed in the general HJM framework. The corresponding market forward rates do not explode, and are positive and mean reverting. Pricing of caps and floors is consistent with the Black formulas used in the market. Swaptions are priced with closed formulas that reduce (with an extra assumption) to exactly the Black swaption formulas when yield and volatility are flat. A two–factor version of the model is calibrated to the U.K. market price of caps and swaptions and to the historically estimated correlation between the forward rates.",Alan Brace; Dariusz G¸atarek; Marek Musiela,,Dariusz G ̧atarek: UNSW Sydney; Marek Musiela: UNSW Sydney,1997-04,Mathematical Finance,Wiley,Heath–Jarrow–Morton framework; LIBOR market model; Economics; Econometrics; Forward rate; Volatility (finance); Yield curve; Short-rate model; Affine term structure model; Stochastic volatility; Mean reversion; Interest rate; Financial economics; Monetary economics,Stochastic processes and financial applications; Economic theories and models; Financial Risk and Volatility Modeling
10.1111/1467-9965.00029,The Potential Approach to the Term Structure of Interest Rates and Foreign Exchange Rates,"It is possible to specify a model for interest rates in various ways, by giving the dynamics of the spot rate or of the forward rates, for example. A less well–developed approach is to specify the law of the state–price density process directly. In abstract, the state–price density process is a positive supermartingale, and the theory of Markov processes provides a rich framework for the generation of examples of such things. We show how this can be done, and provide simple examples (some familiar, some new) where prices of derivatives can be computed very easily. One benefit of the potential approach is that it becomes very easy to model the yield curve in many countries at once, together with the exchange rates between them.",L. C. G. Rogers,0000-0003-2006-8806,L. C. G. Rogers: Department of Mathematical Sciences,1997-04,Mathematical Finance,Wiley,Yield curve; Simple (philosophy); Interest rate; Term (time); Econometrics; Yield (engineering); Markov process; Exchange rate; Foreign exchange; Mathematical economics; Process (computing); Markov chain; Forward rate; Economics; Computer science; Mathematics; Macroeconomics; Statistics; Monetary economics,Economic theories and models; Stochastic processes and financial applications
