doi,title,abstract,authors,orcid_ids,affiliations,published_date,journal_title,publisher,keywords,topics
10.1080/14697680400000022,Fluctuations and response in financial markets: the subtle nature of ‘random’ price changes,"Using trades and quotes data from the Paris stock market, we show that the random walk nature of traded prices results from a very delilcated interplay between two opposite tendencies: long-range correlated market orders that lead to super-diffusion (or persistence), and mean revrting limit orders that lead to sub-diffusion (or anti-persistence). We define and study a model where the price, at any instant, is the result of the impact of all past trades, mediated by a non-constant ‘propagator’ in time that describes the response of the market to a single trade. Within this model, the market is shown to be, in a precise sense, at a critical point, where the price is purely diffusive and the average response function almost constant. We find empirically, and discuss theoretically, a fluctuation-response relation. We also discuss the fraction of truly informed market orders, that correctly anticipate short-term moves, and find that it is quite small.",Jean-Philippe Bouchaud; Yuval Gefen; Marc Potters; Matthieu Wyart,0000-0002-0427-6456; 0000-0002-6057-7229; 0000-0003-0644-0990,Jean‐Philippe Bouchaud: Commissariat à l'Énergie Atomique et aux Énergies Alternatives; Yuval Gefen: Capital Fund Management (France); Marc Potters: Weizmann Institute of Science; Matthieu Wyart: Weizmann Institute of Science,2004-04,Quantitative Finance,Informa UK Limited,Economics; Random walk; Econometrics; Financial market; Financial economics; Constant (computer programming); Stock market; Limit (mathematics); Mathematics; Finance; Statistics; Computer science,Complex Systems and Time Series Analysis; Nonlinear Dynamics and Pattern Formation; Theoretical and Computational Physics
10.1080/14697680400000023,"Aggregate consumption spending, the stock market and asymmetric error correction","In this study, we show how changes in wealth resulting from unanticipated changes in the value of equity holdings begin a process whereby households alter consumption growth in order to close the gap between actual and target spending. Because of changing uncertainty or equity price volatility over the stock market cycle, we found the time path of this adjustment to exhibit near-random walk behaviour during stock market downturns. Conversely, during ‘boom’ periods, e.g. when the value of equities held by households was greater than the threshold, the growth in consumer spending was quick to eliminate the disparity between actual and target spending.",Lonnie K Stevans,,Lonnie K Stevans: Zarb School of Business,2004-04,Quantitative Finance,Informa UK Limited,Economics; Volatility (finance); Stock market; Boom; Stock (firearms); Monetary economics; Equity (law); Econometrics; Growth stock; Consumption (sociology); Consumer spending; Random walk; Financial economics; Stock market bubble; Macroeconomics; Recession,Financial Markets and Investment Strategies; Economic theories and models; Monetary Policy and Economic Impact
10.1080/14697680400000024,Applying importance sampling for estimating coherent credit risk contributions,"A Monte Carlo simulation method based on importance sampling is applied to the problem of determining individual risk contributions of the obligors in a credit portfolio. The effectiveness of the method is benchmarked against standard Monte Carlo techniques and the asymptotic optimality of the method is proved. The risk measure adopted is expected shortfall, a particualr coherent risk measure. The concept of a coherent risk spectrum is discussed on the basis of some numerical examples.",Sandro Merino; Mark A Nyfeler,0000-0003-3980-8819,Sandro Merino: Union Bank of Switzerland,2004-04,Quantitative Finance,Informa UK Limited,Monte Carlo method; Expected shortfall; Importance sampling; Measure (data warehouse); Spectral risk measure; Risk measure; Econometrics; Credit risk; Sampling (signal processing); Portfolio; Computer science; Basis (linear algebra); Mathematical optimization; Mathematics; Economics; Statistics; Actuarial science; Financial economics; Data mining,Risk and Portfolio Optimization; Probability and Risk Models; Credit Risk and Financial Regulations
10.1080/14697680400000025,Statistical analysis of financial time series under the assumption of local stationarity,"The aim of this paper is to apply a nonparametric methodology developed by Donoho et al(2003 IEEE Trans. Signal Processing 53614–27) for estimating an autocovariance sequence to the statistical analysis of the return of securities and discuss the advantages offered by this approach over other existing methods such as fixed-window-length segmentation procedures. Theoretical properties of adaptivity of this estimation method have been proved for a specific class of time series, namely the class of locally stationary processes, with an autocovariance structure which varies slowly over time in most cases but might exhibit abrupt changes of regime. This method is based on an algorithm that selects empirically from the data the tiling of the time–frequency plane which exposes best in the least-squares sense the underlying second-order time-varying structure of the time series, and so may properly describe the time-inhomogeneous variations of speculative prices. The applications we consider here mainly concern the analysis of structural changes occurring in stock market returns, VaR estimation and the comparison between the variation structure of stock index returns in developed markets and in developing markets.",Stéphan Clémençon; Skander Slim,0000-0002-5879-9500; 0000-0001-6545-9435,"Stéphan Clémençon: Université Paris Nanterre, Sorbonne Université, Laboratoire de Probabilités et Modèles Aléatoires, Centre National de la Recherche Scientifique; Skander Slim: Théorie Économique, Modélisation et Applications, Centre National de la Recherche Scientifique",2004-04,Quantitative Finance,Informa UK Limited,Autocovariance; Econometrics; Series (stratigraphy); Nonparametric statistics; Time series; Financial market; Computer science; Stock market index; Stock market; Mathematics; Economics; Finance; Statistics,Complex Systems and Time Series Analysis; Financial Risk and Volatility Modeling; Time Series Analysis and Forecasting
10.1080/14697680400000026,Positive forward rates in the maximum smoothenss framework,In this paper we present a nonlinerar dynamic programming algorithm for the computation of forward rates within the maximum smoothness framework. The algorithm implements the forward rate positivity constraint for a one-parametric family of smoothness measures and it handles price spreads in the constraining data set. We investigate the outcome of the algorithm using thw Swedish Bond market showing examples where the absence of the positive constraint leads to negative interest rates. Furthermore we investigate the predictive accuracy of the algorithm as we move along the family of smoothness measures. Amon other things we onserve that the inclusion of spreads not only improves the smoothness of forward curves but also significantly reduces the predictive error.,Julián Manzano; Jörgen Blomvall,0000-0002-3558-2579,Julián Manzano: Linköping University; Jörgen Blomvall: Linköping University,2004-04,Quantitative Finance,Informa UK Limited,Smoothness; Constraint (computer-aided design); Computation; Forward rate; Set (abstract data type); Mathematical optimization; Parametric statistics; Algorithm; Computer science; Mathematics; Econometrics; Economics; Interest rate; Statistics; Finance,Stochastic processes and financial applications; Monetary Policy and Economic Impact; Credit Risk and Financial Regulations
10.1080/14697680400000027,Optimal tracking for asset allocation with fixed and proportional transaction costs,"This paper studies the asset allocation problem of optimally tracking a target mix of asset categories when there are transaction costs. We consider the trading strategy for an investor who is trying to minimize both fixed and proportional transaction costs while simultaneously minimizing the tracking error with respect to a specified, target asset mix. We use imupulse control theory in a continuous-time, dynamic setting to deal with this problem in a general and analytical way, showing that the optimal trading strategy can be characterized in terms of a quasi-variational inequality. We derive an explicit solution for the two-asset case, and we use this to provide a sensitivity analysis, showing how the optimal strategy depends upon individual input parameters. We also use some theory for one-dimensional diffusion processes to derive analytical expressions for various measures of performance such as the average time between transactions.",Stanley R Pliska; Kiyoshi Suzuki,0000-0001-8656-6221; 0000-0003-1133-0649,Stanley R. Pliska: University of Illinois Chicago; Kiyoshi Suzuki: Nomura Holdings (Japan),2004-04,Quantitative Finance,Informa UK Limited,Transaction cost; Asset (computer security); Mathematical optimization; Trading strategy; Tracking error; Computer science; Asset allocation; Database transaction; Fixed cost; Stochastic control; Econometrics; Control (management); Economics; Optimal control; Mathematics; Microeconomics; Finance,Stochastic processes and financial applications; Financial Markets and Investment Strategies; Economic theories and models
10.1080/14697680400000028,Robert F Engle: Understanding volatility as a process,"(2004). Robert F Engle: Understanding volatility as a process. Quantitative Finance: Vol. 4, No. 2, pp. C19-C20.",Robert F Engle,0009-0009-9491-1510,"Robert F. Engle: Nobel Foundation, New York University, Financial Services Authority",2004-04,Quantitative Finance,Informa UK Limited,Volatility (finance); Economics; Volatility smile; Implied volatility; Financial economics; Econometrics,Financial Risk and Volatility Modeling; Market Dynamics and Volatility; Complex Systems and Time Series Analysis
10.1080/14697680400000029,A diffusive wander through human life,Moshe Milevsk takes a random walk through the human life cycle and reflects on how quantitative finance is transforming thefield of personal wealth management.,Moshe Milevsky,0000-0002-5176-8904,"Moshe A. Milevsky: Fields Institute for Research in Mathematical Sciences, York University",2004-04,Quantitative Finance,Informa UK Limited,Random walk; Economics; Econometrics; Psychology; Sociology; Financial economics; Mathematics; Statistics,"Financial Literacy, Pension, Retirement Analysis; Insurance, Mortality, Demography, Risk Management; Financial Markets and Investment Strategies"
10.1080/14697680400000030,Adventures on the edge of chaos,,K P Zetie,0000-0002-1188-4361,,2004-04,Quantitative Finance,Informa UK Limited,CHAOS (operating system); Edge of chaos; Adventure; Enhanced Data Rates for GSM Evolution; Economics; Statistical physics; Mathematical economics; Financial economics; Mathematics; Computer science; Physics; History; Art history; Artificial intelligence; Algorithm,"Chaos, Complexity, and Education; Science, Research, and Medicine; Earth Systems and Cosmic Evolution"
10.1080/14697680400000031,Calendar,,,,,2004-04,Quantitative Finance,Informa UK Limited,Economics,
10.1080/14697680400000032,A note on skewness and kurtosis adjusted option pricing models under the Martingale restriction,"Several authors have proposed series expansion methods to price options when the risk-neutral density is asymmetric and leptokurtic. Among these, Corrado and Su (1996) provide an intuitive pricing formula based on a Gram-Charlier Type A series expansion. However, their formula contains a typographic error that can be significant. However, their formula contains a typographic error that can be significant. Brown and Robinson (2002) correct their pricing formula and provide and example of economic significance under plausible market conditions. The purpose of this comment is to slightly modify their pricing formula to provide consistency with a martingale restriction. We also compare the sensitivities of option prices to shifts in skewness and kurtosis using parameter values from sCorrado and Su (19ssss96) and Brown and Robinson (2002), and market data from the French options market. We show that differences between the original, corrected and our modified versions of the Corrado and Su (1996) original model are minor on the whole sample, but could be economically significant in specific cases, namely for the maturity and far-from-the-money options when markets are turbulent.",Emmanuel Jurczenko; Bertrand Maillet; Bogdan Negrea,0000-0003-1284-3374; 0000-0002-1725-1741,,2004-10,Quantitative Finance,Informa UK Limited,Kurtosis; Econometrics; Martingale (probability theory); Skewness; Economics; Valuation of options; Martingale pricing; Mathematics; Financial economics; Local martingale; Applied mathematics; Statistics,Stochastic processes and financial applications; Capital Investment and Risk Analysis; Financial Markets and Investment Strategies
10.1080/14697680400000033,Adaptive mixture for a controlled smile: the LT model,"We build here an arbitrage-free model for an equity-type asset that allows the forward volatility surface to be uncertain today and change profiles over time with some stationarity. Sport and forward distributions are both expressed in the same format through convenient lognormal mixtures ensuring consisten recombinations. The underlying spot process is botained as the product of a lognormal and a jump variable that can be easily simulated. Closed-form solutions are dervied for standard and forward-start European options. The model addresses the drawbacks of local volatilitites and is very tractable with respect to jump-discussion and stochastic vol models. It allows to callibrate, as needed, on both cliquet and vanilla options and offers a convenient framework to observe and control volatility surface evolution.",Nadhem Meziou,,,2004-10,Quantitative Finance,Informa UK Limited,Economics; Computer science; Econometrics; Mathematics,Nonlinear Dynamics and Pattern Formation; Liquid Crystal Research Advancements; Pickering emulsions and particle stabilization
10.1080/14697680400000034,A non-Gaussian option pricing model with skew,"Closed form option pricing formulae explaining skew and smile are obtained\nwithin a parsimonious non-Gaussian framework. We extend the non-Gaussian option\npricing model of L. Borland (Quantitative Finance, {\\bf 2}, 415-431, 2002) to\ninclude volatility-stock correlations consistent with the leverage effect. A\ngeneralized Black-Scholes partial differential equation for this model is\nobtained, together with closed-form approximate solutions for the fair price of\na European call option. In certain limits, the standard Black-Scholes model is\nrecovered, as is the Constant Elasticity of Variance (CEV) model of Cox and\nRoss. Alternative methods of solution to that model are thereby also discussed.\nThe model parameters are partially fit from empirical observations of the\ndistribution of the underlying. The option pricing model then predicts European\ncall prices which fit well to empirical market data over several maturities.\n",Lisa Borland; Jean-Philippe Bouchaud,,"Jean‐Philippe Bouchaud: Service de Physique de l'État Condensé, Centre National de la Recherche Scientifique, CEA Paris-Saclay, Commissariat à l'Énergie Atomique et aux Énergies Alternatives",2004-10,Quantitative Finance,Informa UK Limited,Valuation of options; Black–Scholes model; Constant elasticity of variance model; Econometrics; Finite difference methods for option pricing; Call option; Skew; Mathematics; Economics; Gaussian; Implied volatility; Volatility smile; Volatility (finance); Monte Carlo methods for option pricing; Mathematical economics; Applied mathematics; Computer science; SABR volatility model; Physics,Stochastic processes and financial applications; Complex Systems and Time Series Analysis; Financial Risk and Volatility Modeling
10.1080/14697680400000035,Option valuation with infinitely divisible distributions,"This paper develops an axiomatic framework for option valuation when option payoffs ar not spanned by spot and bond prices. This framework extends the parametric 'risk neutral valuation' results of rubinstein (1976) and brennan (1979) to general distributions. The valuation relationship preserves the divisibility properties of distributions. So by using infinitely divisible distributions the theory easily extends to continuous-time processes with independent increments. This paper illustrates the valuation technique with negative-binomial and inverse-binomial generalizations of Cox et al.'s (1979) binomial model. The Continuous-time (gamma and inverse Gaussian) limits of these models generalize the Black-Scholes (1973) formula by incorporating an extra skewness parameter. The continuous-time examples include an infinite variance stable process of the type used by Mandelbrot (1963, 1966) and McCulloch (1987). The valuation theory extends to Americal options and other path-dependent claims.",Steven Heston,0009-0002-2903-352X,,2004-10,Quantitative Finance,Informa UK Limited,Valuation (finance); Economics; Econometrics; Financial economics; Mathematics; Mathematical economics; Actuarial science; Finance,Stochastic processes and financial applications; Capital Investment and Risk Analysis
10.1080/14697680400000036,Early exercise boundary and option prices in Lévy driven models,"Pricing and hedging of European. American, barrier options and interest rate derivatives for wide classes of Levy driven models is consideref in situatins where qualitative and quantitative differences between gaussian and Levy modelling are most prominent, and the dependence on the choice of a family of Levy processes is analysed. Asymptotics of option prices near the barrier and expiry are calculated; for American options, two fast numerical methods are constructed. It is shown that for many classes of Levy processes, the early exercise boundary of the American put is separated from the strike by a non-vanishing margin, and as the riskless rate vanishes, the early exercise boundary tends to 0 uniformly over the interval [0, T). Implications for fitting of parameters are discussed.",S. Z. Levendorski,,,2004-10,Quantitative Finance,Informa UK Limited,Economics; Lévy process; Boundary (topology); Financial economics; Econometrics; Mathematics; Applied mathematics,Stochastic processes and financial applications
10.1080/14697680400000037,Hedging European and Barrier options using stochastic optimization,We hedge European and Barrier options in a discrete time and discrete space setting by uwing stochastic optimization to minimize the mean downside hedge error under transaction costs. Scenario trees are generated using a method which ensures the absence of arbitrage and which matches the mean and variance of the underlying asset price in the sampled scenarios to those of a given distribution. The stochastic optimization based strategy is benchmarked to the method of delta hedging for the case where the underlying asset price following a discretized geometric Brownian motion and implemented for the case where the underlying asset prices is driven by a discretized Variance Gamms proces.,Michael Villaverde,,,2004-10,Quantitative Finance,Informa UK Limited,Economics; Financial economics; Econometrics; Computer science; Actuarial science; Mathematical economics; Mathematical optimization; Mathematics,Stochastic processes and financial applications
10.1080/14697680400000038,Delta-hedging vega risk?,"In this article we compare the profit and loss arising from the delta-neutral dynamic hedging of options, using two possible values for the delta of the option. The first is the Black-Scholes implied delta, while the second is the localdelta, namely the delta of the option in a generalized Black-Scholes model with a local volatility, recalibrated to the market smile every day. We explain why, in negatively skewed markets, the local delta should provide a better hedge than the implied delta during slow rallies or fast sell-offs, and a worse hedge, although to a smaller extent, during fast rallies or slow sell-offs. Since slow rallies and fast sell-offs are more likely to occur than fast rallies or slow sell-offs in negatively skewed markets (provided we have physical as well as implied negative skewness), we conclude that, on average, the local delta provides a better hedge than the implied delta in negatively skewed markets. We obtain the same conclusion in the case of positively skewed markets. We illustrate these results using both simulated and real time-series of equity-index data, which have had a large negative implied skew since the stock market crash of October 1987. Moreover, we check numerically that the conclusions we draw are true when transaction costs are taken into account. In the last section we discuss the case of barrier options.",Stéphane Crépey,0000-0001-9409-1748,,2004-10,Quantitative Finance,Informa UK Limited,Vega; Delta; Economics; Econometrics; Financial economics; Engineering; Physics,Bioeconomy and Sustainability Development; Market Dynamics and Volatility
10.1080/14697680400000039,From local volatility to local Lévy models,We define the class of local Levy processes. These are Levy processes time changed by an inhomogeneous local speed function. The local speed function is a deterministic function of time and the level of the process itself. We show how to reverse engineer the local speed function from traded option prices of all strikes and maturities. The local Levy processes generalize the class of local volatility models. Closed forms for local speed functions for a variety of cases are also presented. Numerical methods for recovery are also described.,Peter Carr; Helyette Geman; Dilip Madan; Marc Yor,,Peter Carr: Laboratoire de Probabilités et Modèles Aléatoires,2004-10,Quantitative Finance,Informa UK Limited,Local volatility; Volatility (finance); Lévy process; Econometrics; Function (biology); Local time; Class (philosophy); Stochastic volatility; Mathematics; Economics; Mathematical economics; Applied mathematics; Computer science; Statistics; Artificial intelligence,Stochastic processes and financial applications; Financial Risk and Volatility Modeling; Mathematical Dynamics and Fractals
10.1080/14697680400000040,GARCH and Volatility swaps,"This article discusses the valuation and hedging of volatility swaps within the frame of a GARCH (1, 1) stochastic volatility model. First we use a general and flexible partial differential equation (PDE) approach to determine the first two moments of the realized variance in a continuous or discrete context. Next, and also the main contribution of the paper, is a closed-form approximate solution for the so-called convexity correction, when the risk-neutral process for the instantaneous variance is a continuous time limit of a GARCH (1, 1) model. Following this, we provide a numerical example using S&P 500 data.",Alireza Javaheri; Paul Wilmott; Espen Haug,0000-0003-4323-5515; 0000-0001-5712-6091,,2004-10,Quantitative Finance,Informa UK Limited,Autoregressive conditional heteroskedasticity; Volatility (finance); Economics; Interest rate swap; Volatility swap; Financial economics; Variance swap; Econometrics; Implied volatility; Swap (finance); Finance,Financial Risk and Volatility Modeling; Monetary Policy and Economic Impact; Market Dynamics and Volatility
10.1080/14697680400000041,Variance reduction for Monte Carlo methods to evaluate option prices under multi-factor stochastic volatility models,"We present variance reduction methods for Monte Carlo simulations to evaluate European and Asian options in the context of multiscale stochastic volatility models. European option price approximations, obtained from singular and regular perturbation analysis [Fouque J P, Papanicolaou G, Sircar R and Solna K 2003 Multiscale stochastic volatility asymptotics SIAM J. Multiscale Modeling and Simulation 2], are used in importance sampling techniques, and their efficiencies are compared. Then we investigate the problem of pricing arithmetic average Asian options (AAOs) by Monte Carlo simulations. A two-step strategy is proposed to reduce the variance where geometric average Asian options (GAOs) are used as control variates. Due to the lack of analytical formulas for GAOs under stochastic volatility models, it is then necessary to consider efficient Monte Carlo methods to estimate the unbiased means of GAOs. The second step consists in deriving formulas for approximate prices based on perturbation techniques, and in computing GAOs by using importance sampling. Numerical results illustrate the efficiency of our method.",Jean-Pierre Fouque; Chuan-Hsiang Han,0000-0001-8786-5645; 0000-0003-1797-1842,,2004-10,Quantitative Finance,Informa UK Limited,Variance reduction; Monte Carlo method; Control variates; Stochastic volatility; Econometrics; Economics; Monte Carlo methods for option pricing; Variance (accounting); Volatility (finance); Markov chain Monte Carlo; Quasi-Monte Carlo method; Mathematics; Valuation of options; Hybrid Monte Carlo; Statistics; Accounting,Forecasting Techniques and Applications
10.1080/14697680400000042,Option pricing and hedging with minimum local expected shortfall,"We propose a versatile Monte-Carlo method for pricing and hedging options\nwhen the market is incomplete, for an arbitrary risk criterion (chosen here to\nbe the expected shortfall), for a large class of stochastic processes, and in\nthe presence of transaction costs. We illustrate the method on plain vanilla\noptions when the price returns follow a Student-t distribution. We show that in\nthe presence of fat-tails, our strategy allows to significantly reduce extreme\nrisks, and generically leads to low Gamma hedging. Similarly, the inclusion of\ntransaction costs reduces the Gamma of the optimal strategy.\n",Benoit Pochart; Jean-Philippe Bouchaud,,"Benoît Pochart: Centre de Mathématiques Appliquées de l'École polytechnique; Jean‐Philippe Bouchaud: Commissariat à l'Énergie Atomique et aux Énergies Alternatives, CEA Paris-Saclay, Service de Physique de l'État Condensé, Centre National de la Recherche Scientifique",2004-10,Quantitative Finance,Informa UK Limited,Expected shortfall; Economics; Financial economics; Valuation of options; Econometrics; Portfolio,Stochastic processes and financial applications; Complex Systems and Time Series Analysis; Financial Risk and Volatility Modeling
10.1080/14697680400000043,Preface,,J. P. Bouchaud,,,2004-10,Quantitative Finance,Informa UK Limited,Economics; Mathematical economics; Philosophy,
10.1080/14697680400000044,A look ahead at options pricing and volatility,,Marco Avellaneda,,,2004-10,Quantitative Finance,Informa UK Limited,Economics; Volatility (finance); Financial economics; Volatility smile; Implied volatility; Econometrics; Stochastic volatility; SABR volatility model,"Insurance, Mortality, Demography, Risk Management; Global Health Care Issues"
10.1080/14697680400000045,Calendar,,,,,2004-10,Quantitative Finance,Informa UK Limited,Economics,
